author,label,provider,level,mean_yearly_distance,std_yearly_distance,path_length,net_displacement,tortuosity,n_years
DS_LV1_News_5years_06,llm,DS,1,0.23335412542959202,0.07604754990409232,4.900436634021433,0.32063659588547233,15.283460144305586,22
DS_LV1_News_5years_07,llm,DS,1,0.09139606860523984,0.04335288027932791,2.0107135093152766,0.060827945150174374,33.05575265367175,23
DS_LV1_News_5years_08,llm,DS,1,0.07629014618259557,0.024643141621806128,1.3732226312867202,0.10867164963782512,12.636438628320457,19
DS_LV1_News_5years_09,llm,DS,1,0.16735879756391223,0.07926587912529232,2.6777407610225956,0.22090360153011482,12.121761449224499,17
DS_LV1_News_5years_10,llm,DS,1,0.2648662953514889,0.09342832731953898,6.356791088435735,0.35009721446332476,18.15721698380338,25
DS_LV1_News_5years_11,llm,DS,1,0.2432870491447426,0.09638152377180972,6.5687503269080505,0.16755452472882298,39.20365825715051,28
DS_LV1_News_5years_12,llm,DS,1,0.26708738009896793,0.12438182811760151,5.07466022188039,0.3341547200892733,15.186558551453757,20
DS_LV1_News_5years_13,llm,DS,1,0.24006859810286,0.08595397437663965,4.8013719620572,0.29456020324954235,16.30013799925859,21
DS_LV1_News_5years_14,llm,DS,1,0.09430783480360785,0.028037560342205323,1.6975410264649413,0.10239143464896877,16.57893584834186,19
DS_LV1_News_5years_15,llm,DS,1,0.18384408746295128,0.07946304163438571,3.860725836721977,0.13476598578515858,28.64762806600676,22
DS_LV1_News_5years_16,llm,DS,1,0.15921505087572865,0.04778413192097648,2.8658709157631157,0.22643956797477063,12.656228508978716,19
DS_LV1_News_5years_17,llm,DS,1,0.09484818478739925,0.04681860409916556,1.8021155109605858,0.14158705845708996,12.727967729527649,20
DS_LV1_News_5years_18,llm,DS,1,0.06782763656734009,0.038773492110702426,1.492208004481482,0.21137425397551382,7.059554209730498,23
DS_LV1_News_5years_19,llm,DS,1,0.1091859790643891,0.04499479463862193,2.511277518480949,0.12904132995423007,19.461032518586713,24
DS_LV1_News_5years_20,llm,DS,1,0.1464598431047593,0.06505478316361765,3.075656705199945,0.07678029286245804,40.057892338462246,22
DS_LV1_News_5years_21,llm,DS,1,0.22431757548308268,0.0691951782650839,4.486351509661653,0.2622959836511355,17.10415633214074,21
DS_LV1_News_5years_22,llm,DS,1,0.19966564680372537,0.08954863087572595,4.791975523289409,0.13080597107318595,36.6342261287774,25
DS_LV1_News_5years_23,llm,DS,1,0.13331654945937485,0.036808702083851216,3.199597187024996,0.15489069193465418,20.65713018039104,25
DS_LV1_News_5years_24,llm,DS,1,0.2146387086407011,0.10124707099466548,5.151329007376826,0.3030155844048238,17.000211449503322,25
DS_LV1_News_5years_25,llm,DS,1,0.180938521168666,0.08999696666151917,5.790032677397312,0.19739793175244946,29.331779851971344,33
DS_LV1_News_5years_26,llm,DS,1,0.28581985121676934,0.12154708567920211,6.859676429202464,0.1915127924100347,35.818371936824406,25
DS_LV1_News_5years_27,llm,DS,1,0.10071920433606113,0.03697457887900469,1.611507269376978,0.039725963142406874,40.56559342816079,17
DS_LV1_News_5years_28,llm,DS,1,0.1314600745929014,0.051817251554011054,3.680882088601239,0.1847795546497707,19.92039701350047,29
DS_LV1_News_5years_29,llm,DS,1,0.250164689845589,0.1016272438312433,6.003952556294135,0.33354061777592475,18.000663896136448,25
DS_LV1_News_5years_30,llm,DS,1,0.0827866415826147,0.04442537598431426,1.9868793979827528,0.0725733753830515,27.377524987583268,25
DS_LV1_News_5years_31,llm,DS,1,0.22939510763669005,0.06997687802825184,5.734877690917251,0.23834233518414413,24.06151507446826,26
